date,FIold,IdV,LN,UdC,LADESTRA,PD,PdL,M5S,FdI,FIPDLFI,NCDUdC,SI,AP,MDP,LeU,E,I,NcI,CivP,EV,LS,IV,A,CI
2018-05-30,-100,-100,25.0,-100,-100,19.0,-100,30.75,3.75,12.25,-100,-100,-100,-100,2.25,1.5,-100,0.5,-100,-100,-100,-100,-100,-100
2018-05-31,-100,-100,27.5,-100,-100,19.2,-100,29.55,3.7,9.55,-100,-100,-100,-100,2.5,2.0,-100,0.4,-100,-100,-100,-100,-100,-100
2018-06-03,-100,-100,22.3,-100,-100,19.6,-100,32.0,5.2,12.0,-100,-100,-100,-100,3.6,1.6,-100,0.7,-100,-100,-100,-100,-100,-100
2018-06-04,-100,-100,25.6,-100,-100,18.5,-100,31.2,3.35,11.4,-100,-100,-100,-100,1.9,2.1,-100,0.55,-100,-100,-100,-100,-100,-100
2018-06-06,-100,-100,26.7,-100,-100,19.4,-100,29.2,3.2,10.0,-100,-100,-100,-100,2.2,-100,-100,0.3,-100,-100,-100,-100,-100,-100
2018-06-11,-100,-100,27.0,-100,-100,18.4,-100,31.5,3.9,8.6,-100,-100,-100,-100,2.3,1.9,-100,-100,-100,-100,-100,-100,-100,-100
2018-06-12,-100,-100,25.55,-100,-100,18.95,-100,29.2,3.55,12.35,-100,-100,-100,-100,2.3,2.0,-100,0.5,-100,-100,-100,-100,-100,-100
2018-06-13,-100,-100,27.3,-100,-100,17.5,-100,29.0,4.3,12.3,-100,-100,-100,-100,2.3,1.8,-100,0.3,-100,-100,-100,-100,-100,-100
2018-06-15,-100,-100,28.7,-100,-100,21.2,-100,29.5,2.8,8.1,-100,-100,-100,-100,2.3,1.8,-100,1.1,-100,-100,-100,-100,-100,-100
2018-06-16,-100,-100,28.0,-100,-100,19.7,-100,28.5,4.1,9.5,-100,-100,-100,-100,3.0,2.0,-100,0.4,-100,-100,-100,-100,-100,-100
2018-06-18,-100,-100,29.2,-100,-100,18.8,-100,29.0,4.1,9.2,-100,-100,-100,-100,2.2,2.0,-100,-100,-100,-100,-100,-100,-100,-100
2018-06-19,-100,-100,27.0,-100,-100,18.0,-100,29.0,3.0,13.0,-100,-100,-100,-100,2.0,2.0,-100,0.5,-100,-100,-100,-100,-100,-100
2018-06-20,-100,-100,28.066666666666666,-100,-100,18.46666666666667,-100,28.166666666666668,3.766666666666667,11.133333333333333,-100,-100,-100,-100,2.8000000000000003,1.8,-100,0.3,-100,-100,-100,-100,-100,-100
2018-06-24,-100,-100,27.45,-100,-100,18.45,-100,29.700000000000003,4.15,9.4,-100,-100,-100,-100,2.8499999999999996,1.7999999999999998,-100,1.05,-100,-100,-100,-100,-100,-100
2018-06-25,-100,-100,28.85,-100,-100,18.4,-100,29.2,3.4,10.45,-100,-100,-100,-100,2.2,1.85,-100,0.5,-100,-100,-100,-100,-100,-100
2018-06-27,-100,-100,31.2,-100,-100,18.9,-100,29.8,2.3,8.3,-100,-100,-100,-100,2.3,2.8,-100,0.4,-100,-100,-100,-100,-100,-100
2018-07-02,-100,-100,28.75,-100,-100,18.55,-100,28.4,4.15,9.05,-100,-100,-100,-100,2.7,2.1,-100,0.9,-100,-100,-100,-100,-100,-100
2018-07-08,-100,-100,27.5,-100,-100,17.5,-100,30.0,4.4,10.2,-100,-100,-100,-100,3.5,1.6,-100,0.9,-100,-100,-100,-100,-100,-100
2018-07-09,-100,-100,29.25,-100,-100,17.9,-100,29.0,3.65,9.85,-100,-100,-100,-100,2.15,2.15,-100,0.5,-100,-100,-100,-100,-100,-100
2018-07-13,-100,-100,29.25,-100,-100,18.7,-100,29.0,3.55,8.100000000000001,-100,-100,-100,-100,2.4,2.0,-100,1.2,-100,-100,-100,-100,-100,-100
2018-07-16,-100,-100,30.1,-100,-100,18.0,-100,29.7,3.9,8.4,-100,-100,-100,-100,2.5,1.8,-100,-100,-100,-100,-100,-100,-100,-100
2018-07-18,-100,-100,31.0,-100,-100,17.0,-100,31.5,3.0,7.7,-100,-100,-100,-100,2.5,2.8,-100,0.2,-100,-100,-100,-100,-100,-100
2018-07-23,-100,-100,30.7,-100,-100,18.1,-100,29.3,4.1,7.9,-100,-100,-100,-100,2.6,1.9,-100,-100,-100,-100,-100,-100,-100,-100
2018-07-25,-100,-100,29.0,-100,-100,17.8,-100,31.0,3.5,9.5,-100,-100,-100,-100,2.6,-100,-100,-100,-100,-100,-100,-100,-100,-100
2018-07-30,-100,-100,30.3,-100,-100,17.4,-100,29.7,3.7,8.6,-100,-100,-100,-100,2.4,2.1,-100,-100,-100,-100,-100,-100,-100,-100
2018-08-27,-100,-100,31.7,-100,-100,16.8,-100,26.8,4.6,8.7,-100,-100,-100,-100,3.7,2.5,-100,0.3,-100,-100,-100,-100,-100,-100
2018-09-02,-100,-100,29.5,-100,-100,17.8,-100,28.7,3.3,8.1,-100,-100,-100,-100,3.0,2.4,-100,1.0,-100,-100,-100,-100,-100,-100
2018-09-03,-100,-100,33.1,-100,-100,17.35,-100,27.65,3.55,7.95,-100,-100,-100,-100,2.95,1.8,-100,0.5,-100,-100,-100,-100,-100,-100
2018-09-04,-100,-100,30.1,-100,-100,17.5,-100,29.8,3.7,10.9,-100,-100,-100,-100,1.8,-100,-100,-100,-100,-100,-100,-100,-100,-100
2018-09-06,-100,-100,32.6,-100,-100,17.2,-100,28.833333333333332,3.0,9.566666666666666,-100,-100,-100,-100,2.6333333333333333,1.7,-100,0.35,-100,-100,-100,-100,-100,-100
2018-09-07,-100,-100,35.0,-100,-100,20.8,-100,26.4,4.1,7.2,-100,-100,-100,-100,2.3,1.9,-100,0.5,-100,-100,-100,-100,-100,-100
2018-09-09,-100,-100,30.5,-100,-100,17.0,-100,28.9,3.7,8.5,-100,-100,-100,-100,2.8,1.6,-100,1.0,-100,-100,-100,-100,-100,-100
2018-09-10,-100,-100,31.366666666666664,-100,-100,17.066666666666666,-100,28.73333333333333,3.6333333333333333,9.433333333333332,-100,-100,-100,-100,2.3666666666666667,2.1333333333333333,-100,0.45,-100,-100,-100,-100,-100,-100
2018-09-12,-100,-100,32.0,-100,-100,17.0,-100,30.2,3.0,8.5,-100,-100,-100,-100,2.3,-100,-100,-100,-100,-100,-100,-100,-100,-100
2018-09-13,-100,-100,30.2,-100,-100,17.3,-100,29.4,2.7,8.7,-100,-100,-100,-100,2.9,2.6,-100,-100,-100,-100,-100,-100,-100,-100
2018-09-15,-100,-100,31.2,-100,-100,17.4,-100,29.1,3.4,10.8,-100,-100,-100,-100,2.3,-100,-100,-100,-100,-100,-100,-100,-100,-100
2018-09-17,-100,-100,31.400000000000002,-100,-100,16.8,-100,28.96666666666667,3.6999999999999997,9.333333333333334,-100,-100,-100,-100,2.533333333333333,2.266666666666667,-100,0.45,-100,-100,-100,-100,-100,-100
2018-09-19,-100,-100,30.5,-100,-100,17.8,-100,28.9,3.1,8.8,-100,-100,-100,-100,2.8,2.0,-100,-100,-100,-100,-100,-100,-100,-100
2018-09-21,-100,-100,31.2,-100,-100,18.2,-100,27.6,2.4,9.0,-100,-100,-100,-100,2.5,2.6,-100,0.3,-100,-100,-100,-100,-100,-100
2018-09-22,-100,-100,34.7,-100,-100,19.8,-100,26.9,3.8,8.0,-100,-100,-100,-100,2.1,2.1,-100,0.8,-100,-100,-100,-100,-100,-100
2018-09-23,-100,-100,31.46666666666667,-100,-100,16.099999999999998,-100,29.833333333333332,3.7999999999999994,9.966666666666667,-100,-100,-100,-100,2.6666666666666665,1.7000000000000002,-100,0.4333333333333333,-100,-100,-100,-100,-100,-100
