date,size,firm,PP,PSOE,ERC,PNVEAJ,CC,BNG,Cs,VOX,Podemos,EHBildu,PACMA,PDeCAT,Comp,JuntsxCat,Naplus,MP,CUP
2016-06-17,2000,NC Report,31.1,21.2,2.3,1.1,0.3,NA,13.2,NA,25.4,0.8,NA,NA,NA,NA,NA,NA,NA
2016-06-17,2000,Netquest,30.4,20.4,NA,NA,NA,NA,15.2,NA,24.0,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-18,900,GESOP,28.8,21.6,NA,NA,NA,NA,15.4,NA,23.7,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-19,2400,Encuestamos,30.6,22.0,2.2,1.2,0.2,0.2,13.6,NA,23.9,0.8,NA,NA,NA,NA,NA,NA,NA
2016-06-19,900,GESOP,28.3,21.9,NA,NA,NA,NA,14.9,NA,24.0,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-19,1200,Invymark,30.1,19.9,NA,NA,NA,NA,13.8,NA,26.1,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-19,NA,JM&A,29.8,22.1,2.4,1.3,0.3,NA,13.9,NA,23.9,0.9,NA,NA,NA,NA,NA,NA,NA
2016-06-19,NA,Redondo & Asociados,29.4,21.5,NA,NA,NA,NA,15.1,NA,24.9,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-19,500,TNS Demoscopia,29.6,21.0,NA,NA,NA,NA,14.8,NA,24.7,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-20,1900,GAD3,30.7,21.2,NA,NA,NA,NA,14.1,NA,24.9,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-20,900,GESOP,29.0,21.5,NA,NA,NA,NA,14.9,NA,23.7,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-20,10244,GIPEyOP,29.5,22.0,2.7,1.1,NA,0.3,14.5,NA,24.5,0.9,NA,NA,NA,NA,NA,NA,NA
2016-06-21,900,GESOP,28.5,21.5,NA,NA,NA,NA,15.2,NA,23.7,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-21,NA,NC Report,31.3,21.4,2.3,1.1,0.3,NA,13.2,NA,25.1,0.7,NA,NA,NA,NA,NA,NA,NA
2016-06-22,900,GESOP,28.2,21.7,NA,NA,NA,NA,15.2,NA,23.6,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-23,900,GESOP,28.0,21.8,NA,NA,NA,NA,15.2,NA,24.0,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-23,NA,NC Report,31.7,21.6,2.3,1.1,0.3,NA,13.1,NA,24.5,0.7,NA,NA,NA,NA,NA,NA,NA
2016-06-24,4000,GAD3,30.4,21.8,2.8,1.2,0.3,NA,13.2,NA,24.8,0.9,NA,NA,NA,NA,NA,NA,NA
2016-06-24,900,GESOP,28.7,21.6,NA,NA,NA,NA,14.9,NA,23.7,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-25,1000,GESOP,28.7,21.6,NA,NA,NA,NA,14.5,NA,23.9,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-25,NA,NC Report,31.9,22.0,2.4,1.1,0.3,NA,13.0,NA,23.7,0.8,NA,NA,NA,NA,NA,NA,NA
